tipo;conta;data;banco;valor
Saídas;Insumos;04/01/2023;Itau Unibanco;-2753,64
Saídas;Serviços terceirizados;04/01/2023;Itau Unibanco;-929,17
Saídas;Peças de manutenção;04/01/2023;Itau Unibanco;-1892,56
Saídas;Material de consumo;04/01/2023;Itau Unibanco;-663,73
Saídas;Despesas com viagens;04/01/2023;Itau Unibanco;-125,45
Saídas;Outras despesas;04/01/2023;Itau Unibanco;-199,15
Saídas;Despesas bancárias;04/01/2023;Itau Unibanco;-1446,9
Entradas;Receita de aplicações;04/01/2023;Itau Unibanco;22843,09
Entradas;Transferências de entradas;04/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;04/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;04/01/2023;Bradesco;254136,19
Saídas;Fretes;04/01/2023;Bradesco;-64,04
Saídas;Matéria-prima;04/01/2023;Bradesco;-146303,99
Saídas;Insumos de produção;04/01/2023;Bradesco;-1023,99
Saídas;Insumos;04/01/2023;Bradesco;-171,52
Saídas;Serviços terceirizados;04/01/2023;Bradesco;-31,94
Saídas;Peças de manutenção;04/01/2023;Bradesco;-76,53
Saídas;Material de consumo;04/01/2023;Bradesco;-31,57
Saídas;Despesas com viagens;04/01/2023;Bradesco;-6,68
Saídas;Outras despesas;04/01/2023;Bradesco;-6,73
Saídas;Despesas bancárias;04/01/2023;Bradesco;-58,08
Entradas;Receita de aplicações;04/01/2023;Bradesco;1118,16
Entradas;Transferências de entradas;04/01/2023;Bradesco;0
Saídas;Transferências de saídas;04/01/2023;Bradesco;0
Entradas;Vendas de produtos;04/01/2023;Inter;68357,36
Saídas;Fretes;04/01/2023;Inter;-23,27
Saídas;Matéria-prima;04/01/2023;Inter;-30101,08
Saídas;Insumos de produção;04/01/2023;Inter;-270,74
Saídas;Insumos;04/01/2023;Inter;-47,78
Saídas;Serviços terceirizados;04/01/2023;Inter;-7,06
Saídas;Peças de manutenção;04/01/2023;Inter;-25,43
Saídas;Material de consumo;04/01/2023;Inter;-4,77
Saídas;Despesas com viagens;04/01/2023;Inter;-1,42
Saídas;Outras despesas;04/01/2023;Inter;-1,69
Saídas;Despesas bancárias;04/01/2023;Inter;-21,57
Entradas;Receita de aplicações;04/01/2023;Inter;300,19
Entradas;Transferências de entradas;04/01/2023;Inter;0
Saídas;Transferências de saídas;04/01/2023;Inter;0
Entradas;Vendas de produtos;05/01/2023;Itau Unibanco;4495886,68
Saídas;Fretes;05/01/2023;Itau Unibanco;-2288,21
Saídas;Matéria-prima;05/01/2023;Itau Unibanco;-2789301,46
Saídas;Insumos de produção;05/01/2023;Itau Unibanco;-19125,06
Saídas;Insumos;05/01/2023;Itau Unibanco;-3324,73
Saídas;Serviços terceirizados;05/01/2023;Itau Unibanco;-848,06
Saídas;Peças de manutenção;05/01/2023;Itau Unibanco;-2081,57
Saídas;Material de consumo;05/01/2023;Itau Unibanco;-656,44
Saídas;Despesas com viagens;05/01/2023;Itau Unibanco;-140,99
Saídas;Outras despesas;05/01/2023;Itau Unibanco;-227,29
Saídas;Despesas bancárias;05/01/2023;Itau Unibanco;-1675,53
Entradas;Receita de aplicações;05/01/2023;Itau Unibanco;26475,35
Entradas;Transferências de entradas;05/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;05/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;05/01/2023;Bradesco;207040,4
Saídas;Fretes;05/01/2023;Bradesco;-78,14
Saídas;Matéria-prima;05/01/2023;Bradesco;-138260,49
Saídas;Insumos de produção;05/01/2023;Bradesco;-1070,65
Saídas;Insumos;05/01/2023;Bradesco;-186,29
Saídas;Serviços terceirizados;05/01/2023;Bradesco;-32,02
Saídas;Peças de manutenção;05/01/2023;Bradesco;-87,73
Saídas;Material de consumo;05/01/2023;Bradesco;-30,16
Saídas;Despesas com viagens;05/01/2023;Bradesco;-6,14
Saídas;Outras despesas;05/01/2023;Bradesco;-7,11
Saídas;Despesas bancárias;05/01/2023;Bradesco;-67,48
Entradas;Receita de aplicações;05/01/2023;Bradesco;1170,15
Entradas;Transferências de entradas;05/01/2023;Bradesco;0
Saídas;Transferências de saídas;05/01/2023;Bradesco;0
Entradas;Vendas de produtos;05/01/2023;Inter;71237,88
Saídas;Fretes;05/01/2023;Inter;-22,72
Saídas;Matéria-prima;05/01/2023;Inter;-23922,32
Saídas;Insumos de produção;05/01/2023;Inter;-277,09
Saídas;Insumos;05/01/2023;Inter;-50,31
Saídas;Serviços terceirizados;05/01/2023;Inter;-9,54
Saídas;Peças de manutenção;05/01/2023;Inter;-18,93
Saídas;Material de consumo;05/01/2023;Inter;-4,91
Saídas;Despesas com viagens;05/01/2023;Inter;-1,58
Saídas;Outras despesas;05/01/2023;Inter;-1,72
Saídas;Despesas bancárias;05/01/2023;Inter;-19,96
Entradas;Receita de aplicações;05/01/2023;Inter;249,78
Entradas;Transferências de entradas;05/01/2023;Inter;0
Saídas;Transferências de saídas;05/01/2023;Inter;0
Entradas;Vendas de produtos;06/01/2023;Itau Unibanco;4279294,38
Saídas;Fretes;06/01/2023;Itau Unibanco;-2435,64
Saídas;ICMS;06/01/2023;Itau Unibanco;-1911957,24
Saídas;PIS;06/01/2023;Itau Unibanco;-111909,27
Saídas;COFINS;06/01/2023;Itau Unibanco;-627262,59
Saídas;Matéria-prima;06/01/2023;Itau Unibanco;-3551920,48
Saídas;Insumos de produção;06/01/2023;Itau Unibanco;-17487,83
Saídas;Insumos;06/01/2023;Itau Unibanco;-3116,57
Saídas;Serviços terceirizados;06/01/2023;Itau Unibanco;-846,77
Saídas;Peças de manutenção;06/01/2023;Itau Unibanco;-2202,4
Saídas;Material de consumo;06/01/2023;Itau Unibanco;-780,54
Saídas;Despesas com viagens;06/01/2023;Itau Unibanco;-132
Saídas;Outras despesas;06/01/2023;Itau Unibanco;-182,65
Saídas;Despesas bancárias;06/01/2023;Itau Unibanco;-1372,42
Entradas;Receita de aplicações;06/01/2023;Itau Unibanco;25195,74
Entradas;Transferências de entradas;06/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;06/01/2023;Itau Unibanco;0
Saídas;Imposto de Renda / CSLL;06/01/2023;Itau Unibanco;-830969,84
Entradas;Vendas de produtos;06/01/2023;Bradesco;241906,87
Saídas;Fretes;06/01/2023;Bradesco;-76,53
Saídas;ICMS;06/01/2023;Bradesco;-76056,54
Saídas;PIS;06/01/2023;Bradesco;-3579,94
Saídas;COFINS;06/01/2023;Bradesco;-28720,36
Saídas;Matéria-prima;06/01/2023;Bradesco;-130808,55
Saídas;Insumos de produção;06/01/2023;Bradesco;-874,69
Saídas;Insumos;06/01/2023;Bradesco;-180,68
Saídas;Serviços terceirizados;06/01/2023;Bradesco;-35,12
Saídas;Peças de manutenção;06/01/2023;Bradesco;-87,56
Saídas;Material de consumo;06/01/2023;Bradesco;-32,53
Saídas;Despesas com viagens;06/01/2023;Bradesco;-7,15
Saídas;Outras despesas;06/01/2023;Bradesco;-8,07
Saídas;Despesas bancárias;06/01/2023;Bradesco;-69,7
Entradas;Receita de aplicações;06/01/2023;Bradesco;946,58
Entradas;Transferências de entradas;06/01/2023;Bradesco;0
Saídas;Transferências de saídas;06/01/2023;Bradesco;0
Saídas;Imposto de Renda / CSLL;06/01/2023;Bradesco;-36130,54
Entradas;Vendas de produtos;06/01/2023;Inter;74783,93
Saídas;Fretes;06/01/2023;Inter;-23,98
Saídas;ICMS;06/01/2023;Inter;-14819,96
Saídas;PIS;06/01/2023;Inter;-1126,47
Saídas;COFINS;06/01/2023;Inter;-5029
Saídas;Matéria-prima;06/01/2023;Inter;-28727,14
Saídas;Insumos de produção;06/01/2023;Inter;-305,55
Saídas;Insumos;06/01/2023;Inter;-58,68
Saídas;Serviços terceirizados;06/01/2023;Inter;-7,05
Saídas;Peças de manutenção;06/01/2023;Inter;-19
Saídas;Material de consumo;06/01/2023;Inter;-4,98
Saídas;Despesas com viagens;06/01/2023;Inter;-1,34
Saídas;Outras despesas;06/01/2023;Inter;-1,55
Saídas;Despesas bancárias;06/01/2023;Inter;-19
Entradas;Receita de aplicações;06/01/2023;Inter;295,69
Entradas;Transferências de entradas;06/01/2023;Inter;0
Saídas;Transferências de saídas;06/01/2023;Inter;0
Saídas;Imposto de Renda / CSLL;06/01/2023;Inter;-13104,06
Entradas;Vendas de produtos;09/01/2023;Itau Unibanco;4214531,96
Saídas;Fretes;09/01/2023;Itau Unibanco;-2384,68
Saídas;Matéria-prima;09/01/2023;Itau Unibanco;-3213916,22
Saídas;Insumos de produção;09/01/2023;Itau Unibanco;-14598,08
Saídas;Insumos;09/01/2023;Itau Unibanco;-2934,84
Saídas;Serviços terceirizados;09/01/2023;Itau Unibanco;-895,11
Saídas;Peças de manutenção;09/01/2023;Itau Unibanco;-1675,99
Saídas;Material de consumo;09/01/2023;Itau Unibanco;-653,66
Saídas;Despesas com viagens;09/01/2023;Itau Unibanco;-128,17
Saídas;Outras despesas;09/01/2023;Itau Unibanco;-190,58
Saídas;Despesas bancárias;09/01/2023;Itau Unibanco;-1674,93
Entradas;Receita de aplicações;09/01/2023;Itau Unibanco;25444,44
Saídas;Pagamento de empréstimos;09/01/2023;Itau Unibanco;-534619,12
Entradas;Transferências de entradas;09/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;09/01/2023;Itau Unibanco;0
Saídas;Pesquisa e inovação;09/01/2023;Itau Unibanco;-151454,41
Entradas;Vendas de produtos;09/01/2023;Bradesco;228669,77
Saídas;Fretes;09/01/2023;Bradesco;-67,66
Saídas;Matéria-prima;09/01/2023;Bradesco;-124993,81
Saídas;Insumos de produção;09/01/2023;Bradesco;-1134,08
Saídas;Insumos;09/01/2023;Bradesco;-180,22
Saídas;Serviços terceirizados;09/01/2023;Bradesco;-31,72
Saídas;Peças de manutenção;09/01/2023;Bradesco;-89,89
Saídas;Material de consumo;09/01/2023;Bradesco;-32,31
Saídas;Despesas com viagens;09/01/2023;Bradesco;-5,89
Saídas;Outras despesas;09/01/2023;Bradesco;-6,85
Saídas;Despesas bancárias;09/01/2023;Bradesco;-52,54
Entradas;Receita de aplicações;09/01/2023;Bradesco;1076,59
Saídas;Pagamento de empréstimos;09/01/2023;Bradesco;-21937,95
Entradas;Transferências de entradas;09/01/2023;Bradesco;0
Saídas;Transferências de saídas;09/01/2023;Bradesco;0
Saídas;Pesquisa e inovação;09/01/2023;Bradesco;-5619,1
Entradas;Vendas de produtos;09/01/2023;Inter;73904,81
Saídas;Fretes;09/01/2023;Inter;-24,52
Saídas;Matéria-prima;09/01/2023;Inter;-30574,37
Saídas;Insumos de produção;09/01/2023;Inter;-237,9
Saídas;Insumos;09/01/2023;Inter;-48,1
Saídas;Serviços terceirizados;09/01/2023;Inter;-8,62
Saídas;Peças de manutenção;09/01/2023;Inter;-20,93
Saídas;Material de consumo;09/01/2023;Inter;-3,75
Saídas;Despesas com viagens;09/01/2023;Inter;-1,78
Saídas;Outras despesas;09/01/2023;Inter;-1,41
Saídas;Despesas bancárias;09/01/2023;Inter;-23,3
Entradas;Receita de aplicações;09/01/2023;Inter;317,1
Saídas;Pagamento de empréstimos;09/01/2023;Inter;-4125,11
Entradas;Transferências de entradas;09/01/2023;Inter;0
Saídas;Transferências de saídas;09/01/2023;Inter;0
Saídas;Pesquisa e inovação;09/01/2023;Inter;-1771,24
Entradas;Vendas de produtos;10/01/2023;Itau Unibanco;4410474,76
Saídas;Fretes;10/01/2023;Itau Unibanco;-2230,46
Saídas;Matéria-prima;10/01/2023;Itau Unibanco;-2868812,32
Saídas;Insumos de produção;10/01/2023;Itau Unibanco;-14870,16
Saídas;Insumos;10/01/2023;Itau Unibanco;-3428,56
Saídas;Serviços terceirizados;10/01/2023;Itau Unibanco;-824,97
Saídas;Peças de manutenção;10/01/2023;Itau Unibanco;-1674,12
Saídas;Material de consumo;10/01/2023;Itau Unibanco;-676,58
Saídas;Despesas com viagens;10/01/2023;Itau Unibanco;-145,32
Saídas;Outras despesas;10/01/2023;Itau Unibanco;-170,67
Saídas;Despesas bancárias;10/01/2023;Itau Unibanco;-1510,59
Entradas;Receita de aplicações;10/01/2023;Itau Unibanco;29031,29
Entradas;Transferências de entradas;10/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;10/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;10/01/2023;Bradesco;253660,14
Saídas;Fretes;10/01/2023;Bradesco;-65,06
Saídas;Matéria-prima;10/01/2023;Bradesco;-133992,43
Saídas;Insumos de produção;10/01/2023;Bradesco;-789,28
Saídas;Insumos;10/01/2023;Bradesco;-196,6
Saídas;Serviços terceirizados;10/01/2023;Bradesco;-26,59
Saídas;Peças de manutenção;10/01/2023;Bradesco;-87,46
Saídas;Material de consumo;10/01/2023;Bradesco;-24,77
Saídas;Despesas com viagens;10/01/2023;Bradesco;-5,55
Saídas;Outras despesas;10/01/2023;Bradesco;-9,92
Saídas;Despesas bancárias;10/01/2023;Bradesco;-60,19
Entradas;Receita de aplicações;10/01/2023;Bradesco;996,42
Entradas;Transferências de entradas;10/01/2023;Bradesco;0
Saídas;Transferências de saídas;10/01/2023;Bradesco;0
Entradas;Vendas de produtos;10/01/2023;Inter;72627,8
Saídas;Fretes;10/01/2023;Inter;-24,57
Saídas;Matéria-prima;10/01/2023;Inter;-23846,42
Saídas;Insumos de produção;10/01/2023;Inter;-246,43
Saídas;Insumos;10/01/2023;Inter;-59,03
Saídas;Serviços terceirizados;10/01/2023;Inter;-8,74
Saídas;Peças de manutenção;10/01/2023;Inter;-19,29
Saídas;Material de consumo;10/01/2023;Inter;-4,44
Saídas;Despesas com viagens;10/01/2023;Inter;-1,25
Saídas;Outras despesas;10/01/2023;Inter;-1,28
Saídas;Despesas bancárias;10/01/2023;Inter;-22,08
Entradas;Receita de aplicações;10/01/2023;Inter;268,91
Entradas;Transferências de entradas;10/01/2023;Inter;0
Saídas;Transferências de saídas;10/01/2023;Inter;0
Entradas;Vendas de produtos;11/01/2023;Itau Unibanco;4367853,57
Saídas;Fretes;11/01/2023;Itau Unibanco;-2301,62
Saídas;Matéria-prima;11/01/2023;Itau Unibanco;-2782769,55
Saídas;Insumos de produção;11/01/2023;Itau Unibanco;-16246,77
Saídas;Insumos;11/01/2023;Itau Unibanco;-3057,67
Saídas;Serviços terceirizados;11/01/2023;Itau Unibanco;-692,97
Saídas;Peças de manutenção;11/01/2023;Itau Unibanco;-1699,02
Saídas;Material de consumo;11/01/2023;Itau Unibanco;-575,91
Saídas;Despesas com viagens;11/01/2023;Itau Unibanco;-159,69
Saídas;Outras despesas;11/01/2023;Itau Unibanco;-240,43
Saídas;Despesas bancárias;11/01/2023;Itau Unibanco;-1467,59
Entradas;Receita de aplicações;11/01/2023;Itau Unibanco;28029,48
Entradas;Transferências de entradas;11/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;11/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;11/01/2023;Bradesco;256800,86
Saídas;Fretes;11/01/2023;Bradesco;-82,07
Saídas;Matéria-prima;11/01/2023;Bradesco;-130744,6
Saídas;Insumos de produção;11/01/2023;Bradesco;-1066,69
Saídas;Insumos;11/01/2023;Bradesco;-176,92
Saídas;Serviços terceirizados;11/01/2023;Bradesco;-30,72
Saídas;Peças de manutenção;11/01/2023;Bradesco;-81,3
Saídas;Material de consumo;11/01/2023;Bradesco;-23,47
Saídas;Despesas com viagens;11/01/2023;Bradesco;-6,05
Saídas;Outras despesas;11/01/2023;Bradesco;-6,85
Saídas;Despesas bancárias;11/01/2023;Bradesco;-72,2
Entradas;Receita de aplicações;11/01/2023;Bradesco;1316,79
Entradas;Transferências de entradas;11/01/2023;Bradesco;0
Saídas;Transferências de saídas;11/01/2023;Bradesco;0
Entradas;Vendas de produtos;11/01/2023;Inter;67603,79
Saídas;Fretes;11/01/2023;Inter;-22,72
Saídas;Matéria-prima;11/01/2023;Inter;-29476,92
Saídas;Insumos de produção;11/01/2023;Inter;-293,68
Saídas;Insumos;11/01/2023;Inter;-45,35
Saídas;Serviços terceirizados;11/01/2023;Inter;-6,64
Saídas;Peças de manutenção;11/01/2023;Inter;-20,93
Saídas;Material de consumo;11/01/2023;Inter;-3,97
Saídas;Despesas com viagens;11/01/2023;Inter;-1,75
Saídas;Outras despesas;11/01/2023;Inter;-1,38
Saídas;Despesas bancárias;11/01/2023;Inter;-20,8
Entradas;Receita de aplicações;11/01/2023;Inter;337,29
Entradas;Transferências de entradas;11/01/2023;Inter;0
Saídas;Transferências de saídas;11/01/2023;Inter;0
Entradas;Vendas de produtos;12/01/2023;Itau Unibanco;4195376,5
Saídas;Fretes;12/01/2023;Itau Unibanco;-2240,78
Saídas;Matéria-prima;12/01/2023;Itau Unibanco;-2864033,9
Saídas;Insumos de produção;12/01/2023;Itau Unibanco;-19081,36
Saídas;Insumos;12/01/2023;Itau Unibanco;-3110,96
Saídas;Serviços terceirizados;12/01/2023;Itau Unibanco;-937,39
Saídas;Peças de manutenção;12/01/2023;Itau Unibanco;-2155,25
Saídas;Material de consumo;12/01/2023;Itau Unibanco;-536,5
Saídas;Despesas com viagens;12/01/2023;Itau Unibanco;-113,74
Saídas;Outras despesas;12/01/2023;Itau Unibanco;-183,2
Saídas;Despesas bancárias;12/01/2023;Itau Unibanco;-1412,8
Entradas;Receita de aplicações;12/01/2023;Itau Unibanco;20802,58
Entradas;Transferências de entradas;12/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;12/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;12/01/2023;Bradesco;234273,35
Saídas;Fretes;12/01/2023;Bradesco;-64,64
Saídas;Matéria-prima;12/01/2023;Bradesco;-143301,65
Saídas;Insumos de produção;12/01/2023;Bradesco;-801,01
Saídas;Insumos;12/01/2023;Bradesco;-144,5
Saídas;Serviços terceirizados;12/01/2023;Bradesco;-29,91
Saídas;Peças de manutenção;12/01/2023;Bradesco;-68,45
Saídas;Material de consumo;12/01/2023;Bradesco;-25,51
Saídas;Despesas com viagens;12/01/2023;Bradesco;-6,6
Saídas;Outras despesas;12/01/2023;Bradesco;-9,07
Saídas;Despesas bancárias;12/01/2023;Bradesco;-50,86
Entradas;Receita de aplicações;12/01/2023;Bradesco;961,16
Entradas;Transferências de entradas;12/01/2023;Bradesco;0
Saídas;Transferências de saídas;12/01/2023;Bradesco;0
Entradas;Vendas de produtos;12/01/2023;Inter;73423,29
Saídas;Fretes;12/01/2023;Inter;-19,23
Saídas;Matéria-prima;12/01/2023;Inter;-25298,16
Saídas;Insumos de produção;12/01/2023;Inter;-220,09
Saídas;Insumos;12/01/2023;Inter;-58,27
Saídas;Serviços terceirizados;12/01/2023;Inter;-6,78
Saídas;Peças de manutenção;12/01/2023;Inter;-27,26
Saídas;Material de consumo;12/01/2023;Inter;-4,8
Saídas;Despesas com viagens;12/01/2023;Inter;-1,49
Saídas;Outras despesas;12/01/2023;Inter;-1,18
Saídas;Despesas bancárias;12/01/2023;Inter;-17,06
Entradas;Receita de aplicações;12/01/2023;Inter;259,45
Entradas;Transferências de entradas;12/01/2023;Inter;0
Saídas;Transferências de saídas;12/01/2023;Inter;0
Entradas;Vendas de produtos;13/01/2023;Itau Unibanco;4389756,09
Saídas;Fretes;13/01/2023;Itau Unibanco;-2250,75
Saídas;Matéria-prima;13/01/2023;Itau Unibanco;-2858421,97
Saídas;Insumos de produção;13/01/2023;Itau Unibanco;-15253,76
Saídas;Insumos;13/01/2023;Itau Unibanco;-4068,13
Saídas;Serviços terceirizados;13/01/2023;Itau Unibanco;-803,58
Saídas;Peças de manutenção;13/01/2023;Itau Unibanco;-1836,67
Saídas;Material de consumo;13/01/2023;Itau Unibanco;-586,7
Saídas;Despesas com viagens;13/01/2023;Itau Unibanco;-124,5
Saídas;Outras despesas;13/01/2023;Itau Unibanco;-213,87
Saídas;Despesas bancárias;13/01/2023;Itau Unibanco;-1488,32
Entradas;Receita de aplicações;13/01/2023;Itau Unibanco;25185,42
Entradas;Transferências de entradas;13/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;13/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;13/01/2023;Bradesco;217356,55
Saídas;Fretes;13/01/2023;Bradesco;-64,24
Saídas;Matéria-prima;13/01/2023;Bradesco;-141947,41
Saídas;Insumos de produção;13/01/2023;Bradesco;-775,07
Saídas;Insumos;13/01/2023;Bradesco;-179,64
Saídas;Serviços terceirizados;13/01/2023;Bradesco;-31,66
Saídas;Peças de manutenção;13/01/2023;Bradesco;-75,73
Saídas;Material de consumo;13/01/2023;Bradesco;-33,63
Saídas;Despesas com viagens;13/01/2023;Bradesco;-5,61
Saídas;Outras despesas;13/01/2023;Bradesco;-9,66
Saídas;Despesas bancárias;13/01/2023;Bradesco;-58,21
Entradas;Receita de aplicações;13/01/2023;Bradesco;1162,8
Entradas;Transferências de entradas;13/01/2023;Bradesco;0
Saídas;Transferências de saídas;13/01/2023;Bradesco;0
Entradas;Vendas de produtos;13/01/2023;Inter;73894,08
Saídas;Fretes;13/01/2023;Inter;-24,29
Saídas;Matéria-prima;13/01/2023;Inter;-23604,11
Saídas;Insumos de produção;13/01/2023;Inter;-248,57
Saídas;Insumos;13/01/2023;Inter;-48,44
Saídas;Serviços terceirizados;13/01/2023;Inter;-7,29
Saídas;Peças de manutenção;13/01/2023;Inter;-24,88
Saídas;Material de consumo;13/01/2023;Inter;-4,6
Saídas;Despesas com viagens;13/01/2023;Inter;-1,56
Saídas;Outras despesas;13/01/2023;Inter;-1,44
Saídas;Despesas bancárias;13/01/2023;Inter;-23,03
Entradas;Receita de aplicações;13/01/2023;Inter;310,85
Entradas;Transferências de entradas;13/01/2023;Inter;0
Saídas;Transferências de saídas;13/01/2023;Inter;0
